sample_index,wall_time_iso,elapsed_s,ros_time_s,core,cpu_percent
5,2026-05-02T15:45:13.454,2.118,,cpu5,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu6,1.961
5,2026-05-02T15:45:13.454,2.118,,cpu7,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu8,3.922
5,2026-05-02T15:45:13.454,2.118,,cpu9,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu10,7.692
5,2026-05-02T15:45:13.454,2.118,,cpu11,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu12,3.922
5,2026-05-02T15:45:13.454,2.118,,cpu13,3.846
5,2026-05-02T15:45:13.454,2.118,,cpu14,1.923
5,2026-05-02T15:45:13.454,2.118,,cpu15,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu16,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu17,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu18,1.961
5,2026-05-02T15:45:13.454,2.118,,cpu19,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu20,1.923
5,2026-05-02T15:45:13.454,2.118,,cpu21,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu22,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu23,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu24,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu25,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu26,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu27,1.923
5,2026-05-02T15:45:13.454,2.118,,cpu28,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu29,3.922
5,2026-05-02T15:45:13.454,2.118,,cpu30,0.000
5,2026-05-02T15:45:13.454,2.118,,cpu31,2.000
6,2026-05-02T15:45:13.971,2.635,,cpu0,5.882
6,2026-05-02T15:45:13.971,2.635,,cpu1,0.000
6,2026-05-02T15:45:13.971,2.635,,cpu2,1.961
6,2026-05-02T15:45:13.971,2.635,,cpu3,21.154
6,2026-05-02T15:45:13.971,2.635,,cpu4,3.922
6,2026-05-02T15:45:13.971,2.635,,cpu5,3.846
6,2026-05-02T15:45:13.971,2.635,,cpu6,13.725
6,2026-05-02T15:45:13.971,2.635,,cpu7,1.961
6,2026-05-02T15:45:13.971,2.635,,cpu8,11.538
6,2026-05-02T15:45:13.971,2.635,,cpu9,3.846
6,2026-05-02T15:45:13.971,2.635,,cpu10,9.804
6,2026-05-02T15:45:13.971,2.635,,cpu11,0.000
6,2026-05-02T15:45:13.971,2.635,,cpu12,15.385
6,2026-05-02T15:45:13.971,2.635,,cpu13,4.000
6,2026-05-02T15:45:13.971,2.635,,cpu14,4.000
6,2026-05-02T15:45:13.971,2.635,,cpu15,0.000
6,2026-05-02T15:45:13.971,2.635,,cpu16,7.692
6,2026-05-02T15:45:13.971,2.635,,cpu17,7.547
6,2026-05-02T15:45:13.971,2.635,,cpu18,3.922
6,2026-05-02T15:45:13.971,2.635,,cpu19,5.882
6,2026-05-02T15:45:13.971,2.635,,cpu20,3.922
6,2026-05-02T15:45:13.971,2.635,,cpu21,1.961
6,2026-05-02T15:45:13.971,2.635,,cpu22,1.961
6,2026-05-02T15:45:13.971,2.635,,cpu23,5.769
6,2026-05-02T15:45:13.971,2.635,,cpu24,1.923
6,2026-05-02T15:45:13.971,2.635,,cpu25,3.846
6,2026-05-02T15:45:13.971,2.635,,cpu26,5.660
6,2026-05-02T15:45:13.971,2.635,,cpu27,0.000
6,2026-05-02T15:45:13.971,2.635,,cpu28,1.923
6,2026-05-02T15:45:13.971,2.635,,cpu29,0.000
6,2026-05-02T15:45:13.971,2.635,,cpu30,0.000
6,2026-05-02T15:45:13.971,2.635,,cpu31,3.774
7,2026-05-02T15:45:14.504,3.167,,cpu0,5.660
7,2026-05-02T15:45:14.504,3.167,,cpu1,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu2,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu3,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu4,1.887
7,2026-05-02T15:45:14.504,3.167,,cpu5,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu6,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu7,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu8,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu9,1.852
7,2026-05-02T15:45:14.504,3.167,,cpu10,3.774
7,2026-05-02T15:45:14.504,3.167,,cpu11,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu12,3.846
7,2026-05-02T15:45:14.504,3.167,,cpu13,3.704
7,2026-05-02T15:45:14.504,3.167,,cpu14,3.846
7,2026-05-02T15:45:14.504,3.167,,cpu15,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu16,1.887
7,2026-05-02T15:45:14.504,3.167,,cpu17,1.887
7,2026-05-02T15:45:14.504,3.167,,cpu18,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu19,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu20,1.887
7,2026-05-02T15:45:14.504,3.167,,cpu21,3.704
7,2026-05-02T15:45:14.504,3.167,,cpu22,3.704
7,2026-05-02T15:45:14.504,3.167,,cpu23,1.887
7,2026-05-02T15:45:14.504,3.167,,cpu24,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu25,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu26,1.852
7,2026-05-02T15:45:14.504,3.167,,cpu27,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu28,0.000
7,2026-05-02T15:45:14.504,3.167,,cpu29,1.852
7,2026-05-02T15:45:14.504,3.167,,cpu30,3.704
7,2026-05-02T15:45:14.504,3.167,,cpu31,3.704
8,2026-05-02T15:45:15.009,3.672,,cpu0,2.000
8,2026-05-02T15:45:15.009,3.672,,cpu1,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu2,1.961
8,2026-05-02T15:45:15.009,3.672,,cpu3,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu4,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu5,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu6,3.922
8,2026-05-02T15:45:15.009,3.672,,cpu7,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu8,4.000
8,2026-05-02T15:45:15.009,3.672,,cpu9,2.041
8,2026-05-02T15:45:15.009,3.672,,cpu10,4.000
8,2026-05-02T15:45:15.009,3.672,,cpu11,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu12,3.846
8,2026-05-02T15:45:15.009,3.672,,cpu13,2.000
8,2026-05-02T15:45:15.009,3.672,,cpu14,5.769
8,2026-05-02T15:45:15.009,3.672,,cpu15,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu16,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu17,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu18,1.961
8,2026-05-02T15:45:15.009,3.672,,cpu19,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu20,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu21,1.961
8,2026-05-02T15:45:15.009,3.672,,cpu22,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu23,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu24,1.961
8,2026-05-02T15:45:15.009,3.672,,cpu25,1.961
8,2026-05-02T15:45:15.009,3.672,,cpu26,1.961
8,2026-05-02T15:45:15.009,3.672,,cpu27,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu28,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu29,4.000
8,2026-05-02T15:45:15.009,3.672,,cpu30,0.000
8,2026-05-02T15:45:15.009,3.672,,cpu31,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu0,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu1,1.961
9,2026-05-02T15:45:15.513,4.177,,cpu2,2.000
9,2026-05-02T15:45:15.513,4.177,,cpu3,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu4,7.843
9,2026-05-02T15:45:15.513,4.177,,cpu5,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu6,2.000
9,2026-05-02T15:45:15.513,4.177,,cpu7,3.922
9,2026-05-02T15:45:15.513,4.177,,cpu8,2.041
9,2026-05-02T15:45:15.513,4.177,,cpu9,7.843
9,2026-05-02T15:45:15.513,4.177,,cpu10,4.000
9,2026-05-02T15:45:15.513,4.177,,cpu11,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu12,2.041
9,2026-05-02T15:45:15.513,4.177,,cpu13,2.000
9,2026-05-02T15:45:15.513,4.177,,cpu14,2.000
9,2026-05-02T15:45:15.513,4.177,,cpu15,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu16,3.846
9,2026-05-02T15:45:15.513,4.177,,cpu17,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu18,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu19,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu20,1.961
9,2026-05-02T15:45:15.513,4.177,,cpu21,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu22,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu23,1.961
9,2026-05-02T15:45:15.513,4.177,,cpu24,1.923
9,2026-05-02T15:45:15.513,4.177,,cpu25,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu26,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu27,3.846
9,2026-05-02T15:45:15.513,4.177,,cpu28,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu29,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu30,0.000
9,2026-05-02T15:45:15.513,4.177,,cpu31,1.961
10,2026-05-02T15:45:16.018,4.681,,cpu0,2.000
10,2026-05-02T15:45:16.018,4.681,,cpu1,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu2,1.961
10,2026-05-02T15:45:16.018,4.681,,cpu3,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu4,2.000
10,2026-05-02T15:45:16.018,4.681,,cpu5,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu6,1.961
10,2026-05-02T15:45:16.018,4.681,,cpu7,1.961
10,2026-05-02T15:45:16.018,4.681,,cpu8,4.000
10,2026-05-02T15:45:16.018,4.681,,cpu9,4.000
10,2026-05-02T15:45:16.018,4.681,,cpu10,5.882
10,2026-05-02T15:45:16.018,4.681,,cpu11,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu12,3.922
10,2026-05-02T15:45:16.018,4.681,,cpu13,3.922
10,2026-05-02T15:45:16.018,4.681,,cpu14,2.000
10,2026-05-02T15:45:16.018,4.681,,cpu15,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu16,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu17,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu18,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu19,1.923
10,2026-05-02T15:45:16.018,4.681,,cpu20,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu21,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu22,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu23,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu24,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu25,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu26,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu27,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu28,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu29,3.922
10,2026-05-02T15:45:16.018,4.681,,cpu30,0.000
10,2026-05-02T15:45:16.018,4.681,,cpu31,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu0,2.000
11,2026-05-02T15:45:16.523,5.186,,cpu1,2.000
11,2026-05-02T15:45:16.523,5.186,,cpu2,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu3,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu4,1.961
11,2026-05-02T15:45:16.523,5.186,,cpu5,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu6,1.961
11,2026-05-02T15:45:16.523,5.186,,cpu7,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu8,3.922
11,2026-05-02T15:45:16.523,5.186,,cpu9,5.882
11,2026-05-02T15:45:16.523,5.186,,cpu10,2.000
11,2026-05-02T15:45:16.523,5.186,,cpu11,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu12,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu13,2.000
11,2026-05-02T15:45:16.523,5.186,,cpu14,1.961
11,2026-05-02T15:45:16.523,5.186,,cpu15,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu16,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu17,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu18,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu19,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu20,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu21,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu22,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu23,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu24,0.000
