sample_index,wall_time_iso,elapsed_s,ros_time_s,role,pid,command,cpu_percent,cpu_percent_host,rss_mb,vms_mb,pss_mb,peak_rss_mb,threads,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,read_bytes,write_bytes,read_mbps,write_mbps
21,2026-05-02T15:45:21.665,10.328,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,2020.746,6993.805,2008.722,2020.746,77,346,277,163766272,4096,0.000,0.000
22,2026-05-02T15:45:22.181,10.844,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
22,2026-05-02T15:45:22.181,10.844,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,1.938,0.061,2036.703,6993.805,2024.679,2036.703,77,346,277,163766272,4096,0.000,0.000
23,2026-05-02T15:45:22.697,11.361,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
23,2026-05-02T15:45:22.697,11.361,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,2036.703,6993.805,2024.679,2036.703,77,346,277,163766272,4096,0.000,0.000
24,2026-05-02T15:45:23.214,11.878,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
24,2026-05-02T15:45:23.214,11.878,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,1.935,0.060,2052.660,6993.805,2040.636,2052.660,77,346,277,163766272,4096,0.000,0.000
25,2026-05-02T15:45:23.730,12.393,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
25,2026-05-02T15:45:23.730,12.393,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,2052.660,6993.805,2040.636,2052.660,77,346,277,163766272,4096,0.000,0.000
26,2026-05-02T15:45:24.246,12.909,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
